;Quận;Huyện;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Số  ngủ;Diện tích;Dài;Rộng;Giá/m2
2;Quận Hai Bà Trưng;Phường Minh Khai;3;1;4;4;40 m²;10 m;4 m;65
3;Quận Tây Hồ;Phường Thụy Khuê;3;1;NaN;6;51 m²;12.75 m;4 m;100
4;Quận Thanh Xuân;Phường Kim Giang;3;4;NaN;4;36 m²;9 m;4 m;86,11
5;Quận Cầu Giấy;Phường Yên Hoà;3;1;NaN;10;46 m²;12.1 m;3.8 m;104,35
6;Quận Đống Đa;Phường Trung Liệt;3;4;NaN;3;52 m²;NaN;4.5 m;112,5
7;Quận Hai Bà Trưng;Phường Đống Mác;2;1;6;5;32 m²;NaN;6.8 m;184,38
8;Quận Tây Hồ;Phường Xuân La;3;4;NaN;4;75 m²;12 m;6.5 m;120
9;Quận Hà Đông;Phường Văn Quán;3;1;4;3;41 m²;NaN;3.5 m;64,63
12;Quận Long Biên;Phường Bồ Đề;3;1;NaN;4;52 m²;13 m;4 m;93,27
13;Quận Hà Đông;Phường Quang Trung;3;4;NaN;5;50 m²;NaN;5 m;86
14;Quận Hai Bà Trưng;Phường Thanh Lương;3;4;NaN;4;52.8 m²;15.2 m;3.9 m;75
15;Quận Long Biên;Phường Bồ Đề;3;1;5;4;52 m²;12 m;4.2 m;93,27
17;Quận Hoàn Kiếm;Phường Phúc Tân;2;1;7;10;165 m²;NaN;5 m;103,03
18;Quận Long Biên;Phường Gia Thụy;2;1;2;3;70 m²;NaN;5.3 m;102,86
20;Quận Nam Từ Liêm;Phường Phương Canh;3;1;5;3;32 m²;NaN;7 m;51,56
21;Quận Hà Đông;Phường Văn Quán;3;1;5;6;65 m²;NaN;4.5 m;75,38
22;Quận Hoàng Mai;Phường Tương Mai;3;1;5;4;45 m²;NaN;4 m;64,44
23;Quận Tây Hồ;Phường Xuân La;2;4;NaN;4;79 m²;NaN;8 m;112,66
24;Quận Hà Đông;Phường La Khê;2;1;5;5;90 m²;18 m;5 m;108,89
25;Quận Nam Từ Liêm;Phường Mễ Trì;3;1;NaN;5;73 m²;NaN;5 m;106,85
28;Quận Cầu Giấy;Phường Quan Hoa;3;4;NaN;3;45 m²;12 m;4.2 m;133,33
29;Quận Nam Từ Liêm;Phường Tây Mỗ;3;1;4;3;32 m²;6.6 m;4.5 m;60,94
30;Quận Ba Đình;Phường Ngọc Khánh;3;1;NaN;2;18 m²;NaN;3.1 m;69,44
32;Quận Nam Từ Liêm;Phường Đại Mỗ;2;1;NaN;3;42 m²;10 m;4.5 m;58,33
33;Quận Cầu Giấy;Phường Nghĩa Đô;3;1;5;5;45 m²;NaN;3 m;95,56
34;Huyện Thanh Trì;Xã Tả Thanh Oai;3;1;3;2;42 m²;11 m;4 m;29,76
35;Quận Nam Từ Liêm;Phường Mỹ Đình 1;2;1;NaN;3;46 m²;9 m;5 m;80,43
36;Quận Đống Đa;Phường Láng Hạ;2;1;5;4;42 m²;NaN;4.5 m;361,9
37;Huyện Thanh Trì;Xã Tam Hiệp;3;1;4;4;43 m²;11 m;4 m;50
38;Quận Ba Đình;Phường Cống Vị;3;1;5;3;25 m²;NaN;4.3 m;96
40;Quận Ba Đình;Phường Vĩnh Phúc;3;1;4;2;35 m²;NaN;4 m;80,86
41;Quận Thanh Xuân;Phường Khương Trung;3;1;4;4;38 m²;10 m;3 m;68,42
42;Huyện Thanh Trì;Xã Tả Thanh Oai;3;4;NaN;4;35 m²;9 m;4 m;55,71
43;Huyện Hoài Đức;Xã Kim Chung;3;4;NaN;3;49 m²;NaN;4 m;36,73
44;Quận Hoàng Mai;Phường Đại Kim;3;1;NaN;3;33 m²;9 m;4 m;80,3
46;Quận Hoàng Mai;Phường Mai Động;3;1;NaN;3;32 m²;NaN;4 m;96,88
47;Quận Đống Đa;Phường Trung Tự;3;1;5;5;120 m²;NaN;7 m;125
48;Quận Hà Đông;Phường Kiến Hưng;1;2;3;5;200 m²;22 m;9 m;47,25
53;Quận Nam Từ Liêm;Phường Mỹ Đình 2;3;4;NaN;4;50 m²;NaN;5 m;130
54;Quận Tây Hồ;Phường Bưởi;3;4;NaN;3;51 m²;6.6 m;3.5 m;62,75
55;Quận Hai Bà Trưng;Phường Minh Khai;4;4;NaN;4;32 m²;NaN;3 m;56,25
56;Quận Đống Đa;Phường Láng Hạ;2;1;6;10;70 m²;17 m;4 m;114,29
58;Huyện Thanh Trì;Xã Tả Thanh Oai;3;4;NaN;3;30 m²;10 m;3 m;61,67
61;Huyện Thanh Trì;Xã Tả Thanh Oai;3;4;NaN;4;36 m²;9 m;4 m;59,72
66;Quận Thanh Xuân;Phường Nhân Chính;3;4;NaN;3;34 m²;8.5 m;4 m;104,41
68;Quận Hà Đông;Phường Vạn Phúc;3;1;5;4;30 m²;9 m;3.4 m;82,67
70;Quận Hai Bà Trưng;Phường Thanh Lương;3;1;4;2;18 m²;6 m;3.2 m;105,56
71;Quận Ba Đình;Phường Ngọc Hà;3;1;5;5;33 m²;11 m;3 m;136,36
74;Quận Thanh Xuân;Phường Khương Đình;3;1;NaN;3;32 m²;8 m;4 m;81,25
76;Quận Hoàng Mai;Phường Hoàng Văn Thụ;3;1;5;3;32 m²;11 m;3.2 m;89,06
77;Quận Bắc Từ Liêm;Phường Xuân Đỉnh;3;4;NaN;3;81 m²;22.5 m;3.6 m;39,51
78;Quận Hoàng Mai;Phường Hoàng Văn Thụ;3;1;4;3;20 m²;6.5 m;3 m;97,5
85;Quận Đống Đa;Phường Kim Liên;3;1;3;3;28 m²;7 m;3.9 m;100
87;Quận Bắc Từ Liêm;Phường Phúc Diễn;3;1;4;5;42 m²;NaN;3.25 m;67,86
88;Quận Ba Đình;Phường Kim Mã;3;1;4;4;32 m²;NaN;4 m;84,38
