;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2
2;7;6;3;1;4;1;0;4;2;40;10;3,75;65
3;3;6;3;1;5;2;1;6;3;51;12,75;3,12;100
4;9;2;3;4;3;1;0;4;3;36;9;3,66;86,11
5;5;8;3;1;6;1;1;10;6;46;12,1;3,96;104,35
6;6;17;3;4;2;1;0;3;3;52;20,12;3,72;112,5
7;7;10;2;1;6;2;0;5;4;32;4,71;6,8;184,38
8;3;7;3;4;5;1;0;4;4;75;12;6,5;120
9;10;15;3;1;4;1;0;3;4;41;18,43;3,35;64,63
12;4;1;3;1;6;1;1;4;6;52;13;3,84;93,27
13;10;13;3;4;4;1;0;5;2;50;39,03;3,24;86
14;7;17;3;4;3;1;1;4;3;52,8;15,2;3,92;75
15;4;1;3;1;5;1;0;4;5;52;12;3,18;93,27
17;2;15;2;1;7;2;1;10;6;165;33;5;103,03
18;4;4;2;1;2;1;0;3;2;70;13,21;5,3;102,86
20;12;7;3;1;5;2;0;3;4;32;4,57;7;51,56
21;10;15;3;1;5;1;1;6;3;65;26,4;3,51;75,38
22;8;9;3;1;5;1;0;4;5;45;22,62;3,79;64,44
23;3;7;2;4;6;2;0;4;4;79;9,88;8;112,66
24;10;6;2;1;5;1;0;5;5;90;18;5;108,89
25;12;3;3;1;5;1;1;5;5;73;14,6;5;106,85
28;5;6;3;4;2;1;0;3;3;45;12;3,95;133,33
29;12;8;3;1;4;1;0;3;3;32;6,6;3,51;60,94
30;1;14;3;1;2;1;0;2;3;18;8,31;3,11;69,44
32;12;2;2;1;1;1;1;3;1;42;10;3,79;58,33
33;5;4;3;1;5;2;0;5;5;45;32,32;2,93;95,56
34;28;8;3;1;3;1;0;2;4;42;11;3,68;29,76
35;12;4;2;1;2;1;0;3;2;46;9;3,67;80,43
36;6;6;2;1;5;2;0;4;3;42;20,38;3,61;361,9
37;28;9;3;1;4;1;0;4;2;43;11;3,81;50
38;1;1;3;1;5;2;0;3;3;25;10,06;2,71;96
