Quận,Phường,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Phòng Khách,Car room,Số phòng ngủ,WC,Diện tích, Dài ,    Rộng    ,Giá/m2
7,6,3,1,4,1,0,4,2,40,10,3.75,65
3,6,3,1,5,2,1,6,3,51,12.75,3.12,100
9,2,3,4,3,1,0,4,3,36,9,3.66,86.11
5,8,3,1,6,1,1,10,6,46,12.1,3.96,104.35
6,17,3,4,2,1,0,3,3,52,20.12,3.72,112.5
7,10,2,1,6,2,0,5,4,32,4.71,6.8,184.38
3,7,3,4,5,1,0,4,4,75,12,6.5,120
10,15,3,1,4,1,0,3,4,41,18.43,3.35,64.63
4,1,3,1,6,1,1,4,6,52,13,3.84,93.27
10,13,3,4,4,1,0,5,2,50,39.03,3.24,86
7,17,3,4,3,1,1,4,3,52.8,15.2,3.92,75
4,1,3,1,5,1,0,4,5,52,12,3.18,93.27
2,15,2,1,7,2,1,10,6,165,33,5,103.03
4,4,2,1,2,1,0,3,2,70,13.21,5.3,102.86
12,7,3,1,5,2,0,3,4,32,4.57,7,51.56
10,15,3,1,5,1,1,6,3,65,26.4,3.51,75.38
8,9,3,1,5,1,0,4,5,45,22.62,3.79,64.44
3,7,2,4,6,2,0,4,4,79,9.88,8,112.66
10,6,2,1,5,1,0,5,5,90,18,5,108.89
12,3,3,1,5,1,1,5,5,73,14.6,5,106.85
5,6,3,4,2,1,0,3,3,45,12,3.95,133.33
12,8,3,1,4,1,0,3,3,32,6.6,3.51,60.94
1,14,3,1,2,1,0,2,3,18,8.31,3.11,69.44
12,2,2,1,1,1,1,3,1,42,10,3.79,58.33
5,4,3,1,5,2,0,5,5,45,32.32,2.93,95.56
28,8,3,1,3,1,0,2,4,42,11,3.68,29.76
12,4,2,1,2,1,0,3,2,46,9,3.67,80.43
6,6,2,1,5,2,0,4,3,42,20.38,3.61,361.9
28,9,3,1,4,1,0,4,2,43,11,3.81,50
1,1,3,1,5,2,0,3,3,25,10.06,2.71,96
1,13,3,1,4,1,0,2,2,35,22.03,3.62,80.86
9,5,3,1,4,1,0,4,3,38,10,3.45,68.42
28,8,3,4,3,1,0,4,4,35,9,3.71,55.71
19,8,3,4,2,1,0,3,4,49,12.25,3.87,36.73
8,1,3,1,2,1,0,3,4,33,9,3.59,80.3
8,7,3,1,2,1,0,3,2,32,14.05,3.52,96.88
6,19,3,1,5,2,0,5,3,120,17.14,7,125
10,5,1,2,3,1,2,5,3,200,22,9,47.25
12,5,3,4,3,1,0,4,3,50,10,5,130
3,1,3,4,2,1,1,3,4,51,6.6,3.57,62.75
7,6,4,4,4,1,0,4,4,32,11.41,3.44,56.25
6,6,2,1,6,1,1,10,5,70,17,3.66,114.29
28,8,3,4,2,1,0,3,3,30,10,3.6,61.67
28,8,3,4,3,1,0,4,3,36,9,3.65,59.72
9,6,3,4,1,1,0,3,1,34,8.5,2.47,104.41
10,14,3,1,5,2,0,4,4,30,9,3.6,82.67
7,17,3,1,4,1,0,2,2,18,6,3.47,105.56
1,7,3,1,5,2,0,5,4,33,11,3.51,136.36
9,3,3,1,2,1,0,3,4,32,8,3.58,81.25
8,5,3,1,5,1,0,3,5,32,11,3.52,89.06
11,12,3,4,1,1,1,3,1,81,22.5,3.95,39.51
8,5,3,1,4,1,0,3,4,20,6.5,3.72,97.5
6,3,3,1,3,1,0,3,3,28,7,3.85,100
11,8,3,1,4,1,0,5,2,42,12.92,2.4,67.86
1,5,3,1,4,1,0,4,3,32,22.19,3.5,84.38
8,6,3,4,6,1,0,4,4,38,15.15,3.96,65.79
8,8,2,1,3,1,0,4,4,38,9.5,3.21,131.58
9,6,2,1,4,1,1,5,4,49,20,53,80.61
9,3,3,4,2,1,0,2,2,55,9.2,6,60
8,5,2,1,5,1,0,3,5,30,4,7.55,118.33
10,6,3,1,3,1,0,2,3,37,10,3.9,53.51
12,9,3,1,1,1,0,1,1,45,10,3.84,71.11
6,9,3,1,5,1,0,4,3,41,15.27,3.11,207.32
6,17,3,1,5,2,0,3,4,11,3,3.15,131.82
8,4,2,1,5,1,0,4,4,44,31.92,3,89.77
8,5,2,1,3,1,0,3,3,21,7,3.36,100
6,6,3,4,4,1,1,4,4,60,37.57,3.6,276.67
6,14,2,1,5,2,1,8,4,75,20,6,393.33
3,6,3,1,2,1,1,2,2,55,11,3.23,118.18
10,14,3,1,5,2,0,3,4,35,9,3.34,71.43
