;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2;;;Quận Ba Đình;;Quận;;;
2;7;6;3;1;4;1;0;4;2;40;10;3,75;65;;1;Phường Cống Vị;;1;Quận Ba Đình;;
3;3;6;3;1;5;2;1;6;3;51;12,75;3,12;100;;2;Phường Điện Biên;;2;Quận Hoàn Kiếm;;
4;9;2;3;4;3;1;0;4;3;36;9;3,66;86;;3;Phường Đội Cấn;;3;Quận Tây Hồ;;
5;5;8;3;1;6;1;1;10;6;46;12,1;3,96;104;;4;Phường Giảng Võ;;4;Quận Long Biên;;
6;6;17;3;4;2;1;0;3;3;52;20,12;3,72;112;;5;Phường Kim Mã;;5;Quận Cầu Giấy;;
24;10;6;2;1;5;1;0;5;5;90;18;5;108;;6;Phường Liễu Giai;;6;Quận Đống Đa;;
8;3;7;3;4;5;1;0;4;4;75;12;6,5;120;;7;Phường Ngọc Hà;;7;Quận Hai Bà Trưng;;
9;10;15;3;1;4;1;0;3;4;41;18,43;3,35;64;;8;Phường Nguyễn Trung Trực;;8;Quận Hoàng Mai;;
12;4;1;3;1;6;1;1;4;6;52;13;3,84;93;;9;Phường Phúc Xá;;9;Quận Thanh Xuân;;
13;10;13;3;4;4;1;0;5;2;50;39,03;3,24;86;;10;Phường Quán Thánh;;10;Quận Hà Đông;;
14;7;17;3;4;3;1;1;4;3;52,8;15,2;3,92;75;;11;Phường Thành Công;;11;Quận Bắc Từ Liêm ;;
15;4;1;3;1;5;1;0;4;5;52;12;3,18;93;;12;Phường Trúc Bạch;;12;Quận Nam Từ Liêm;;
92;9;6;2;1;4;1;1;5;4;49;20;53;80;;13;Phường Vĩnh Phúc;;13;Thị xã Sơn Tây;;
144;7;19;2;1;2;1;1;2;3;36;10;3,49;138;;14;Phường Ngọc Khánh;;14;Huyện Ba Vì;;
20;12;7;3;1;5;2;0;3;4;32;4,57;7;51;;;;;15;Huyện Chương Mỹ;;
21;10;15;3;1;5;1;1;6;3;65;26,4;3,51;75;;Nam Từ Liêm;;;16;Huyện Đan Phượng ;;
22;8;9;3;1;5;1;0;4;5;45;22,62;3,79;64;;1;Phường Cầu Diễn;;17;Huyện Đông Anh;;
331;10;13;2;1;5;1;1;3;3;42;14,28;2,3;133;;2;Phường Đại Mỗ;;18;Huyện Gia Lâm;;
341;11;12;2;4;1;1;0;3;1;85;17;5;89;;3;phường Mễ Trì;;19;Huyện Hoài Đức;;
25;12;3;3;1;5;1;1;5;5;73;14,6;5;106;;4;phường Mỹ Đình 1;;20;Huyện Mê Linh;;
28;5;6;3;4;2;1;0;3;3;45;12;3,95;133;;5;phường Mỹ Đình 2;;21;Huyện Mỹ Đức;;
29;12;8;3;1;4;1;0;3;3;32;6,6;3,51;60;;6;phường Phú Đô;;22;Huyện Phú Xuyên;;không có
30;1;14;3;1;2;1;0;2;3;18;8,31;3,11;69;;7;phường Phương Canh;;23;Huyện Phúc Thọ;;
560;4;3;2;1;4;1;0;5;4;90;30;3,63;84;;8;phường Tây Mỗ;;24;Huyện Quốc Oai;;
